2.5500,4.9100,1.0000,1.0000
2.3000,4.8100,0.9341,0.9341
2.0500,4.7600,0.9862,0.9862
1.8000,4.6100,1.0259,1.0259
1.5500,4.3600,0.8860,0.8860
1.5000,4.1100,0.8500,0.8500
1.5000,3.8600,0.8500,0.8500
1.4500,3.6100,0.8246,0.8246
1.4500,3.3600,0.8500,0.8500
1.4000,3.1100,0.9000,0.9000
1.3500,2.8600,0.9487,0.9487
1.2000,2.6100,0.9708,0.9708
1.0000,2.3600,0.9394,0.9394
0.7500,2.2100,0.9179,0.9179
0.5000,2.1100,0.8602,0.8602
0.2500,2.0600,0.7906,0.7906
0.0000,2.0100,0.8000,0.8000
-0.2500,2.0100,0.8000,0.8000
-0.5000,2.0100,0.8016,0.8016
-0.7500,1.9600,0.8860,0.8860
-1.0000,2.0100,0.8515,0.8515
-1.2500,2.0100,0.9000,0.9000
-1.5000,2.0600,0.8515,0.8515
-1.7500,2.0600,0.9000,0.9000
-2.0000,2.1100,0.8515,0.8515
-2.2500,2.1100,0.9000,0.9000
-2.5000,2.1600,0.8500,0.8500
-2.7500,2.1600,0.8732,0.8732
-3.0000,2.1600,0.8732,0.8732
-3.2500,2.2100,0.8631,0.8631
-3.5000,2.2100,0.9000,0.9000
-3.7500,2.2600,0.8559,0.8559
-4.0000,2.2600,0.9000,0.9000
-4.2500,2.2600,0.9000,0.9000
-4.5000,2.3100,0.8732,0.8732
-4.7500,2.3600,0.8500,0.8500
-5.0000,2.3600,0.8631,0.8631
-5.2500,2.3600,0.8732,0.8732
-5.5000,2.3600,0.8500,0.8500
-5.7500,2.4100,0.9000,0.9000
-6.0000,2.4100,0.9014,0.9014
-6.2500,2.4100,0.9487,0.9487
-6.5000,2.4100,0.9500,0.9500
-6.7500,2.2600,1.1000,1.1000
-6.8500,2.0100,1.1413,1.1413
-6.9500,1.7600,1.1402,1.1402
-7.0000,1.5100,1.1511,1.1511
-6.9500,1.2600,1.1000,1.1000
-6.8500,1.0100,1.0308,1.0308
-6.7500,0.7600,1.0296,1.0296
-6.6000,0.5100,0.9962,0.9962
-6.3500,0.4100,0.9708,0.9708
-6.1000,0.3600,0.9014,0.9014
-5.8500,0.3100,0.9000,0.9000
-5.6000,0.3100,0.9000,0.9000
-5.3500,0.2600,0.9000,0.9000
-5.1000,0.2600,0.9000,0.9000
-4.8500,0.2100,0.8500,0.8500
-4.6000,0.2100,0.8860,0.8860
-4.3500,0.2100,0.9000,0.9000
-4.1000,0.2100,0.8515,0.8515
-3.8500,0.1600,0.9000,0.9000
-3.6000,0.1600,0.9000,0.9000
-3.3500,0.1100,0.9341,0.9341
-3.1000,0.1100,0.9000,0.9000
-2.8500,0.0100,0.8631,0.8631
-2.6000,0.0100,0.9000,0.9000
-2.3500,0.0100,0.9000,0.9000
-2.1000,-0.0400,0.8732,0.8732
-1.8500,-0.0900,0.8500,0.8500
-1.6000,-0.0900,0.8500,0.8500
-1.3500,-0.1400,0.8382,0.8382
-1.1000,-0.1400,0.8500,0.8500
-0.8500,-0.1900,0.8000,0.8000
-0.6000,-0.1900,0.8062,0.8062
-0.3500,-0.1900,0.7566,0.7566
-0.1000,-0.1900,0.7500,0.7500
0.1500,-0.2400,0.8000,0.8000
0.4000,-0.2400,0.8000,0.8000
0.6500,-0.2900,0.8500,0.8500
0.9000,-0.2900,0.8500,0.8500
1.1500,-0.2900,0.8382,0.8382
1.4000,-0.2900,0.8000,0.8000
1.6500,-0.3400,0.8500,0.8500
1.9000,-0.3400,0.8500,0.8500
2.1500,-0.3400,0.8515,0.8515
2.4000,-0.2900,0.8500,0.8500
2.6500,-0.2400,0.8382,0.8382
2.9000,-0.1400,0.8276,0.8276
3.1500,-0.0400,0.8500,0.8500
3.4000,0.2100,0.7382,0.7382
3.5000,0.4600,0.7382,0.7382
3.5500,0.7100,0.6708,0.6708
3.6000,0.9600,0.6519,0.6519
3.6500,1.2100,0.6671,0.6671
3.7000,1.4600,0.6671,0.6671
3.7500,1.7100,0.6671,0.6671
3.8000,1.9600,0.6519,0.6519
3.8500,2.2100,0.6500,0.6500
3.8500,2.4600,0.6325,0.6325
3.8500,2.7100,0.6000,0.6000
3.8500,2.9600,0.6000,0.6000
3.9000,3.2100,0.6964,0.6964
3.9000,3.4600,0.7071,0.7071
3.9000,3.7100,0.7500,0.7500
3.8500,3.9600,0.8139,0.8139
3.8500,4.2100,0.8000,0.8000
3.7000,4.4600,0.9124,0.9124
3.5000,4.7100,1.0700,1.0700
3.2500,4.7600,0.9849,0.9849
3.0000,4.8600,0.9823,0.9823
2.7500,4.9100,1.0000,1.0000
