2.558,4.753,1.032,1.000,0.800,0.250,0.010,3.000
2.369,4.739,1.022,1.000,0.800,0.250,0.010,3.000
2.177,4.686,1.769,1.000,0.800,0.250,0.010,3.000
1.992,4.603,2.275,1.000,0.800,0.250,0.010,3.000
1.819,4.497,2.680,1.000,0.800,0.250,0.010,3.000
1.664,4.375,3.024,0.700,0.700,0.200,0.010,4.000
1.522,4.235,3.327,0.700,0.700,0.200,0.010,4.000
1.395,4.082,3.600,0.700,0.700,0.200,0.010,4.000
1.280,3.920,3.848,0.700,0.700,0.200,0.010,4.000
1.175,3.751,4.077,0.700,0.700,0.200,0.010,4.000
1.074,3.578,4.289,0.700,0.700,0.200,0.010,4.000
0.974,3.408,4.487,0.700,0.700,0.200,0.010,4.000
0.866,3.239,4.492,0.700,0.700,0.200,0.010,4.000
0.748,3.079,4.300,0.700,0.700,0.200,0.010,4.000
0.616,2.930,4.185,0.700,0.800,0.200,0.010,5.000
0.466,2.797,4.108,0.700,0.800,0.200,0.010,5.000
0.303,2.687,4.067,0.700,0.800,0.200,0.010,5.000
0.124,2.599,4.027,0.700,0.800,0.200,0.010,5.000
-0.063,2.531,4.152,0.700,0.800,0.200,0.010,5.000
-0.251,2.476,4.359,0.700,0.800,0.200,0.010,5.000
-0.442,2.425,4.553,0.700,0.800,0.200,0.010,5.000
-0.634,2.379,4.736,0.700,0.800,0.200,0.010,5.000
-0.829,2.339,4.908,0.700,0.800,0.200,0.010,5.000
-1.028,2.308,5.071,0.700,0.800,0.200,0.010,5.000
-1.223,2.286,5.226,0.700,0.800,0.200,0.010,5.000
-1.421,2.273,5.374,0.700,0.800,0.200,0.010,5.000
-1.622,2.270,5.511,0.700,0.800,0.200,0.010,5.000
-1.819,2.276,5.639,0.700,0.800,0.200,0.010,5.000
-2.018,2.290,5.768,0.700,0.800,0.200,0.010,5.000
-2.216,2.311,5.892,0.700,0.800,0.200,0.010,5.000
-2.412,2.339,6.011,0.700,0.800,0.200,0.010,5.000
-2.610,2.371,6.126,0.700,0.800,0.200,0.010,5.000
-2.804,2.407,6.236,0.700,0.400,0.100,0.010,6.000
-3.000,2.445,6.342,0.700,0.400,0.100,0.010,6.000
-3.195,2.483,6.444,0.700,0.400,0.100,0.010,6.000
-3.391,2.519,6.181,0.700,0.400,0.100,0.010,6.000
-3.587,2.551,5.902,0.700,0.400,0.100,0.010,6.000
-3.784,2.577,5.653,0.700,0.400,0.100,0.010,6.000
-3.982,2.595,5.430,0.700,0.400,0.100,0.010,6.000
-4.181,2.604,5.235,0.700,0.400,0.100,0.010,6.000
-4.380,2.601,5.073,1.000,0.400,0.300,0.010,7.000
-4.578,2.583,4.934,1.000,0.400,0.300,0.010,7.000
-4.774,2.551,4.816,1.000,0.400,0.300,0.010,7.000
-4.967,2.501,4.699,1.000,0.400,0.300,0.010,7.000
-5.153,2.433,4.581,1.000,0.400,0.300,0.010,7.000
-5.334,2.348,4.464,1.000,0.400,0.300,0.010,7.000
-5.503,2.246,4.324,1.000,0.400,0.300,0.010,7.000
-5.664,2.126,4.165,1.000,0.400,0.300,0.010,7.000
